family,condition,temperature_bin,cycle,capacity_test_mAh,temperature_mean_C,temperature_min_C,temperature_max_C,full_discharge_mAh,total_rows,soc_start,soc_end,soh,replicate_index,replicate_count,new_relative_path,file_size_bytes
detailed,ARTERIAL,10C,288,1390.3,9.381187,8.7,10.1,1392.2,7734,1,0,0.94462563,1,1,detailed\10C\detailed_arterial_cycle288_cap1390p3mAh.csv,393237
detailed,ARTERIAL,10C,291,1360.2,9.3862447,8.7,10.2,1362.7,7568,1,0,0.92417448,1,1,detailed\10C\detailed_arterial_cycle291_cap1360p2mAh.csv,384863
detailed,ARTERIAL,10C,294,1337.0,9.3908688,8.7,10.3,1340.4,7447,1,0,0.90841147,1,1,detailed\10C\detailed_arterial_cycle294_cap1337p0mAh.csv,376675
detailed,ARTERIAL,10C,299,1301.8,9.3826404,8.7,10.3,1306.0,7264,1,0,0.88449518,1,1,detailed\10C\detailed_arterial_cycle299_cap1301p8mAh.csv,367767
detailed,ARTERIAL,10C,304,1265.8,9.4152281,8.7,10.4,1270.3,7079,1,0,0.86003533,1,1,detailed\10C\detailed_arterial_cycle304_cap1265p8mAh.csv,357398
detailed,ARTERIAL,10C,309,1234.0,9.409742,8.7,10.4,1238.4,6898,1,0,0.83842913,1,1,detailed\10C\detailed_arterial_cycle309_cap1234p0mAh.csv,348610
detailed,ARTERIAL,10C,313,1203.5,9.4319165,8.7,10.4,1208.4,6752,1,0,0.81770621,1,1,detailed\10C\detailed_arterial_cycle313_cap1203p5mAh.csv,340855
detailed,DST,10C,288,1390.3,9.0661266,8.7,9.7,1392.2,13394,1,0,0.94462563,1,1,detailed\10C\detailed_dst_cycle288_cap1390p3mAh.csv,630845
detailed,DST,10C,291,1360.2,9.0642034,8.7,9.8,1364.1,13099,1,0,0.92417448,1,1,detailed\10C\detailed_dst_cycle291_cap1360p2mAh.csv,614924
detailed,DST,10C,294,1337.0,9.0759749,8.7,9.8,1343.1,12899,1,0,0.90841147,1,1,detailed\10C\detailed_dst_cycle294_cap1337p0mAh.csv,602126
detailed,DST,10C,299,1301.8,9.0569812,8.7,9.8,1310.1,12634,1,0,0.88449518,1,1,detailed\10C\detailed_dst_cycle299_cap1301p8mAh.csv,584247
detailed,DST,10C,304,1265.8,9.086194,8.7,9.8,1275.2,12328,1,0,0.86003533,1,1,detailed\10C\detailed_dst_cycle304_cap1265p8mAh.csv,572454
detailed,DST,10C,309,1234.0,9.0635894,8.7,9.8,1243.9,11991,1,0,0.83842913,1,1,detailed\10C\detailed_dst_cycle309_cap1234p0mAh.csv,554801
detailed,DST,10C,313,1203.5,9.0902577,8.7,10.0,1214.1,11640,1,0,0.81770621,1,1,detailed\10C\detailed_dst_cycle313_cap1203p5mAh.csv,544296
detailed,EUDC,10C,288,1402.4,9.7057131,8.9,10.6,1404.8,7334,1,0,0.94987808,1,1,detailed\10C\detailed_eudc_cycle288_cap1402p4mAh.csv,361106
detailed,EUDC,10C,291,1380.0,9.7109173,8.9,10.5,1382.8,7282,1,0,0.93470604,1,1,detailed\10C\detailed_eudc_cycle291_cap1380p0mAh.csv,357778
detailed,EUDC,10C,294,1362.6,9.7170213,8.9,10.6,1365.7,7191,1,0,0.92292062,1,1,detailed\10C\detailed_eudc_cycle294_cap1362p6mAh.csv,351379
detailed,EUDC,10C,299,1331.5,9.7071408,8.9,11.0,1334.4,6946,1,0,0.90185587,1,1,detailed\10C\detailed_eudc_cycle299_cap1331p5mAh.csv,339743
detailed,EUDC,10C,304,1303.1,9.7238919,8.9,10.8,1306.1,6881,1,0,0.88261989,1,1,detailed\10C\detailed_eudc_cycle304_cap1303p1mAh.csv,336045
detailed,EUDC,10C,309,1278.7,9.7230133,8.9,10.8,1282.0,6770,1,0,0.8660932,1,1,detailed\10C\detailed_eudc_cycle309_cap1278p7mAh.csv,329794
detailed,EUDC,10C,313,1257.9,9.7504891,8.9,11.3,1260.8,6542,1,0,0.85200488,1,1,detailed\10C\detailed_eudc_cycle313_cap1257p9mAh.csv,319076
detailed,HWFET,10C,288,1402.4,9.894856,8.9,10.9,1404.2,5696,1,0,0.94987808,1,1,detailed\10C\detailed_hwfet_cycle288_cap1402p4mAh.csv,297435
detailed,HWFET,10C,291,1380.0,9.9057768,8.9,10.9,1382.1,5626,1,0,0.93470604,1,1,detailed\10C\detailed_hwfet_cycle291_cap1380p0mAh.csv,293375
detailed,HWFET,10C,294,1362.6,9.9131418,8.9,11.1,1365.1,5570,1,0,0.92292062,1,1,detailed\10C\detailed_hwfet_cycle294_cap1362p6mAh.csv,291141
detailed,HWFET,10C,299,1331.5,9.8783754,8.9,11.0,1334.5,5466,1,0,0.90185587,1,1,detailed\10C\detailed_hwfet_cycle299_cap1331p5mAh.csv,288193
detailed,HWFET,10C,304,1303.1,9.9528355,8.9,11.2,1306.3,5343,1,0,0.88261989,1,1,detailed\10C\detailed_hwfet_cycle304_cap1303p1mAh.csv,279212
detailed,HWFET,10C,309,1278.7,9.9346923,8.9,11.2,1282.0,5249,1,0,0.8660932,1,1,detailed\10C\detailed_hwfet_cycle309_cap1278p7mAh.csv,275082
detailed,HWFET,10C,313,1257.9,9.9631569,8.9,11.4,1260.5,5138,1,0,0.85200488,1,1,detailed\10C\detailed_hwfet_cycle313_cap1257p9mAh.csv,267484
detailed,LA92,10C,290,1404.5,9.7617614,9.0,10.3,1407.8,8005,1,0,0.94776976,1,1,detailed\10C\detailed_la92_cycle290_cap1404p5mAh.csv,421764
detailed,LA92,10C,293,1377.7,9.7778707,9.0,10.4,1382.0,7890,1,0,0.92968486,1,1,detailed\10C\detailed_la92_cycle293_cap1377p7mAh.csv,414702
detailed,LA92,10C,296,1355.7,9.7856769,9.0,10.6,1360.1,7645,1,0,0.91483906,1,1,detailed\10C\detailed_la92_cycle296_cap1355p7mAh.csv,402097
detailed,LA92,10C,301,1319.1,9.781924,9.0,10.6,1324.5,7474,1,0,0.89014104,1,1,detailed\10C\detailed_la92_cycle301_cap1319p1mAh.csv,391694
detailed,LA92,10C,306,1279.9,9.8016816,9.0,10.8,1285.4,7255,1,0,0.86368851,1,1,detailed\10C\detailed_la92_cycle306_cap1279p9mAh.csv,380096
detailed,LA92,10C,311,1247.9,9.7934399,9.0,10.5,1254.1,7195,1,0,0.84209461,1,1,detailed\10C\detailed_la92_cycle311_cap1247p9mAh.csv,377196
detailed,LA92,10C,316,1211.2,9.8377941,9.0,10.8,1217.0,6927,1,0,0.8173291,1,1,detailed\10C\detailed_la92_cycle316_cap1211p2mAh.csv,361886
detailed,MANHATTAN,10C,290,1404.5,9.2044195,9.1,9.8,1409.7,18441,1,0,0.94776976,1,1,detailed\10C\detailed_manhattan_cycle290_cap1404p5mAh.csv,945401
detailed,MANHATTAN,10C,293,1377.7,9.2089238,9.1,9.9,1385.0,18120,1,0,0.92968486,1,1,detailed\10C\detailed_manhattan_cycle293_cap1377p7mAh.csv,927946
detailed,MANHATTAN,10C,296,1355.7,9.1920814,9.0,9.9,1364.7,17882,1,0,0.91483906,1,1,detailed\10C\detailed_manhattan_cycle296_cap1355p7mAh.csv,914721
detailed,MANHATTAN,10C,301,1319.1,9.1716849,9.0,9.8,1330.2,17443,1,0,0.89014104,1,1,detailed\10C\detailed_manhattan_cycle301_cap1319p1mAh.csv,887680
detailed,MANHATTAN,10C,306,1279.9,9.2072807,9.0,9.9,1291.9,16894,1,0,0.86368851,1,1,detailed\10C\detailed_manhattan_cycle306_cap1279p9mAh.csv,862569
detailed,MANHATTAN,10C,311,1247.9,9.189393,9.0,9.9,1260.8,16508,1,0,0.84209461,1,1,detailed\10C\detailed_manhattan_cycle311_cap1247p9mAh.csv,841043
detailed,MANHATTAN,10C,316,1211.2,9.2237019,9.0,9.9,1225.3,16024,1,0,0.8173291,1,1,detailed\10C\detailed_manhattan_cycle316_cap1211p2mAh.csv,817161
detailed,NUREMBERG,10C,288,1402.4,9.0793434,8.9,9.8,1408.9,19737,1,0,0.94987808,1,1,detailed\10C\detailed_nuremberg_cycle288_cap1402p4mAh.csv,993546
detailed,NUREMBERG,10C,291,1380.0,9.074254,8.9,9.9,1386.9,19370,1,0,0.93470604,1,1,detailed\10C\detailed_nuremberg_cycle291_cap1380p0mAh.csv,973332
detailed,NUREMBERG,10C,294,1362.6,9.0767211,8.9,10.0,1369.7,19000,1,0,0.92292062,1,1,detailed\10C\detailed_nuremberg_cycle294_cap1362p6mAh.csv,952626
detailed,NUREMBERG,10C,299,1331.5,9.0521744,8.9,9.9,1339.9,18695,1,0,0.90185587,1,1,detailed\10C\detailed_nuremberg_cycle299_cap1331p5mAh.csv,933641
detailed,NUREMBERG,10C,304,1303.1,9.071251,8.9,9.9,1311.6,18338,1,0,0.88261989,1,1,detailed\10C\detailed_nuremberg_cycle304_cap1303p1mAh.csv,917563
detailed,NUREMBERG,10C,309,1278.7,9.0486446,8.9,9.9,1286.9,17891,1,0,0.8660932,1,1,detailed\10C\detailed_nuremberg_cycle309_cap1278p7mAh.csv,892407
detailed,NUREMBERG,10C,313,1257.9,9.0709133,8.9,9.9,1265.8,17661,1,0,0.85200488,1,1,detailed\10C\detailed_nuremberg_cycle313_cap1257p9mAh.csv,881655
detailed,NYCC,10C,288,1390.1,8.9471162,8.8,9.5,1394.8,17737,1,0,0.94628999,1,1,detailed\10C\detailed_nycc_cycle288_cap1390p1mAh.csv,882904
detailed,NYCC,10C,291,1360.7,8.9359377,8.8,9.5,1366.5,17458,1,0,0.92627638,1,1,detailed\10C\detailed_nycc_cycle291_cap1360p7mAh.csv,871041
detailed,NYCC,10C,294,1337.2,8.9261491,8.7,9.6,1344.1,17079,1,0,0.9102791,1,1,detailed\10C\detailed_nycc_cycle294_cap1337p2mAh.csv,851914
detailed,NYCC,10C,299,1300.8,8.8910305,8.7,9.5,1309.2,16701,1,0,0.88550034,1,1,detailed\10C\detailed_nycc_cycle299_cap1300p8mAh.csv,836053
detailed,NYCC,10C,304,1265.7,8.932881,8.7,9.5,1274.9,16286,1,0,0.86160654,1,1,detailed\10C\detailed_nycc_cycle304_cap1265p7mAh.csv,810679
detailed,NYCC,10C,309,1234.8,8.9274584,8.7,9.6,1244.4,15813,1,0,0.84057182,1,1,detailed\10C\detailed_nycc_cycle309_cap1234p8mAh.csv,787465
detailed,NYCC,10C,313,1204.5,8.9460121,8.7,9.5,1215.5,15522,1,0,0.81994554,1,1,detailed\10C\detailed_nycc_cycle313_cap1204p5mAh.csv,772057
detailed,REP05,10C,290,1404.5,9.9064712,9.1,10.6,1404.2,6274,1,0,0.94776976,1,1,detailed\10C\detailed_rep05_cycle290_cap1404p5mAh.csv,339584
detailed,REP05,10C,293,1377.7,9.9170689,9.1,10.6,1379.4,6216,1,0,0.92968486,1,1,detailed\10C\detailed_rep05_cycle293_cap1377p7mAh.csv,336438
detailed,REP05,10C,296,1355.7,9.9273563,9.1,10.7,1358.4,6090,1,0,0.91483906,1,1,detailed\10C\detailed_rep05_cycle296_cap1355p7mAh.csv,329394
detailed,REP05,10C,301,1319.1,9.940411,9.0,11.0,1323.6,5840,1,0,0.89014104,1,1,detailed\10C\detailed_rep05_cycle301_cap1319p1mAh.csv,314158
detailed,REP05,10C,306,1279.9,9.9697103,9.0,11.0,1284.9,5695,1,0,0.86368851,1,1,detailed\10C\detailed_rep05_cycle306_cap1279p9mAh.csv,307259
detailed,REP05,10C,311,1247.9,9.9607297,9.0,11.1,1253.6,5564,1,0,0.84209461,1,1,detailed\10C\detailed_rep05_cycle311_cap1247p9mAh.csv,299567
detailed,REP05,10C,316,1211.2,10.005369,9.1,11.2,1215.9,5420,1,0,0.8173291,1,1,detailed\10C\detailed_rep05_cycle316_cap1211p2mAh.csv,292672
detailed,SC03,10C,288,1390.1,9.2243738,8.8,9.7,1392.8,9941,1,0,0.94628999,1,1,detailed\10C\detailed_sc03_cycle288_cap1390p1mAh.csv,519286
detailed,SC03,10C,291,1360.7,9.218782,8.8,9.7,1364.9,9770,1,0,0.92627638,1,1,detailed\10C\detailed_sc03_cycle291_cap1360p7mAh.csv,509887
detailed,SC03,10C,294,1337.2,9.2354429,8.8,9.8,1342.5,9528,1,0,0.9102791,1,1,detailed\10C\detailed_sc03_cycle294_cap1337p2mAh.csv,496806
detailed,SC03,10C,299,1300.8,9.2049003,8.7,9.8,1308.0,9326,1,0,0.88550034,1,1,detailed\10C\detailed_sc03_cycle299_cap1300p8mAh.csv,483722
detailed,SC03,10C,304,1265.7,9.2489613,8.8,9.8,1273.9,9146,1,0,0.86160654,1,1,detailed\10C\detailed_sc03_cycle304_cap1265p7mAh.csv,475509
detailed,SC03,10C,309,1234.8,9.2318264,8.7,9.9,1243.4,8848,1,0,0.84057182,1,1,detailed\10C\detailed_sc03_cycle309_cap1234p8mAh.csv,459226
detailed,SC03,10C,313,1204.5,9.2594778,8.8,9.9,1214.2,8694,1,0,0.81994554,1,1,detailed\10C\detailed_sc03_cycle313_cap1204p5mAh.csv,452485
detailed,UDDS,10C,288,1390.3,9.106071,8.7,9.7,1393.7,11102,1,0,0.94462563,1,1,detailed\10C\detailed_udds_cycle288_cap1390p3mAh.csv,576247
detailed,UDDS,10C,291,1360.2,9.1053255,8.7,9.8,1365.3,10891,1,0,0.92417448,1,1,detailed\10C\detailed_udds_cycle291_cap1360p2mAh.csv,564100
detailed,UDDS,10C,294,1337.0,9.1076448,8.7,9.9,1343.6,10687,1,0,0.90841147,1,1,detailed\10C\detailed_udds_cycle294_cap1337p0mAh.csv,553728
